ID;a0;a1;a2;a3;v;e;f
v0;7;1;35;-;1;3;0
v1;2;0;44;-;1;0;0
v2;1;3;43;-;5;0;0
v3;4;2;20;-;5;1;0
v4;3;5;19;-;7;1;0
v5;6;4;12;-;7;2;0
v6;5;7;11;-;3;2;0
v7;0;6;36;-;3;3;0
v8;15;9;29;-;4;6;1
v9;10;8;38;-;4;4;1
v10;9;11;37;-;3;4;1
v11;12;10;6;-;3;2;1
v12;11;13;5;-;7;2;1
v13;14;12;18;-;7;5;1
v14;13;15;17;-;8;5;1
v15;8;14;30;-;8;6;1
v16;23;17;31;-;8;8;2
v17;18;16;14;-;8;5;2
v18;17;19;13;-;7;5;2
v19;20;18;4;-;7;1;2
v20;19;21;3;-;5;1;2
v21;22;20;42;-;5;7;2
v22;21;23;41;-;6;7;2
v23;16;22;24;-;6;8;2
v24;31;25;23;-;6;8;3
v25;26;24;40;-;6;9;3
v26;25;27;47;-;2;9;3
v27;28;26;32;-;2;10;3
v28;27;29;39;-;4;10;3
v29;30;28;8;-;4;6;3
v30;29;31;15;-;8;6;3
v31;24;30;16;-;8;8;3
v32;39;33;27;-;2;10;4
v33;34;32;46;-;2;11;4
v34;33;35;45;-;1;11;4
v35;36;34;0;-;1;3;4
v36;35;37;7;-;3;3;4
v37;38;36;10;-;3;4;4
v38;37;39;9;-;4;4;4
v39;32;38;28;-;4;10;4
v40;47;41;25;-;6;9;5
v41;42;40;22;-;6;7;5
v42;41;43;21;-;5;7;5
v43;44;42;2;-;5;0;5
v44;43;45;1;-;1;0;5
v45;46;44;34;-;1;11;5
v46;45;47;33;-;2;11;5
v47;40;46;26;-;2;9;5
